id,order_id,product_id,quantity,price
1,37,43,1,49.54
2,79,33,8,66.95
3,26,29,9,40.78
4,90,12,3,37.93
5,99,44,4,52.2
6,60,1,2,43.35
7,30,40,5,81.53
8,83,19,1,32.98
9,51,3,4,25.38
10,78,5,8,56.26
11,23,43,6,85.34
12,21,35,10,46.96
13,44,9,4,16.87
14,49,40,2,64.96
15,29,10,9,30.19
16,33,15,7,83.13
17,13,34,5,61.23
18,79,10,2,17.9
19,34,6,9,16.08
20,85,12,9,38.95
21,11,5,7,95.48
22,59,32,2,86.1
23,5,48,9,30.3
24,21,6,8,60.55
25,96,36,4,23.22
26,89,46,1,60.36
27,22,8,5,54.84
28,6,22,8,38.83
29,39,28,1,15.47
30,26,49,1,22.9
31,91,36,10,46.67
32,87,26,2,56.49
33,60,9,3,81.44
34,32,26,9,63.78
35,67,8,7,74.05
36,91,32,1,88.71
37,73,29,5,50.64
38,53,44,10,97.4
39,60,12,8,89.65
40,20,22,6,93.22
41,61,50,10,85.73
42,21,39,5,25.09
43,53,38,4,94.05
44,22,40,8,62.64
45,49,18,4,36.58
46,29,3,8,71.06
47,30,31,2,90.29
48,67,29,8,51.16
49,6,13,9,61.7
50,67,41,3,62.76
51,98,40,7,29.35
52,52,9,8,92.54
53,99,11,1,12.67
54,45,24,8,89.01
55,69,46,10,53.85
56,62,37,3,70.0
57,93,40,4,99.75
58,43,12,1,27.82
59,45,32,2,54.67
60,50,40,3,20.3
61,77,40,8,29.82
62,1,49,3,56.93
63,11,7,10,83.75
64,47,14,9,30.11
65,44,7,3,93.19
66,70,11,9,45.23
67,59,31,2,70.62
68,49,14,6,78.46
69,68,32,10,18.66
70,56,35,10,56.36
71,31,14,7,93.63
72,19,39,1,49.91
73,15,1,6,44.3
74,12,31,5,93.52
75,2,15,9,94.05
76,63,9,7,91.51
77,26,3,5,81.26
78,44,26,8,94.02
79,65,14,10,52.09
80,60,15,5,90.84
81,43,13,1,87.25
82,50,39,10,84.46
83,49,33,8,53.85
84,60,44,5,98.29
85,98,39,2,17.43
86,6,12,10,29.0
87,60,36,2,20.13
88,57,44,2,41.9
89,93,18,4,84.36
90,89,23,6,43.2
91,42,21,6,91.78
92,94,11,4,15.73
93,76,14,8,21.7
94,33,7,1,54.91
95,45,4,4,22.31
96,97,27,1,85.24
97,22,31,8,21.88
98,22,48,9,63.95
99,77,49,2,36.52
100,24,6,8,82.08
101,64,45,4,27.74
102,42,6,8,43.92
103,53,14,3,72.37
104,33,41,10,13.28
105,65,23,8,88.51
106,16,49,4,80.47
107,77,40,10,88.93
108,88,34,8,23.63
109,37,13,3,37.65
110,10,21,1,56.58
111,91,50,6,78.21
112,39,27,10,83.61
113,58,6,10,35.6
114,13,43,5,71.53
115,34,42,2,27.26
116,41,37,5,33.93
117,62,16,6,39.16
118,44,28,9,19.86
119,96,23,9,67.06
120,30,43,7,22.85
121,2,5,2,62.19
122,95,2,8,34.07
123,22,26,7,76.16
124,6,44,6,15.36
125,18,16,7,90.6
126,31,3,2,37.87
127,99,1,1,60.4
128,38,42,10,77.97
129,53,44,5,54.46
130,17,4,1,76.95
131,1,43,5,24.86
132,30,46,4,93.25
133,97,18,4,69.5
134,66,16,1,85.78
135,59,47,1,71.46
136,87,28,10,65.88
137,62,46,6,94.17
138,44,33,9,13.85
139,63,23,9,80.56
140,22,14,5,76.78
141,89,44,1,32.92
142,81,35,7,91.52
143,70,20,9,85.95
144,94,12,5,38.2
145,16,35,10,71.77
146,75,23,4,13.56
147,91,24,8,93.21
148,75,25,2,40.08
149,95,50,7,22.25
150,72,4,8,41.83
151,5,38,2,32.71
152,14,11,8,76.61
153,60,44,9,14.35
154,78,16,6,98.07
155,28,4,9,35.21
156,31,36,10,19.64
157,49,11,7,39.49
158,40,41,8,66.71
159,36,5,8,63.18
160,67,7,8,82.99
161,81,31,6,61.39
162,85,11,7,79.24
163,66,7,2,10.97
164,69,47,6,27.78
165,89,14,9,45.8
166,70,18,3,32.34
167,57,19,10,70.41
168,40,10,8,72.69
169,37,8,9,76.7
170,30,2,6,22.71
171,25,42,10,51.31
172,11,37,3,61.34
173,28,17,10,88.12
174,41,15,3,89.68
175,82,38,3,91.34
176,77,29,5,86.69
177,82,47,1,86.78
178,81,24,10,71.95
179,40,30,5,45.64
180,51,10,9,26.49
181,67,27,4,62.87
182,47,28,2,51.71
183,28,4,7,70.49
184,89,1,9,83.35
185,57,47,7,25.47
186,74,48,4,88.05
187,2,14,9,81.67
188,41,4,10,61.9
189,20,21,1,81.85
190,10,4,10,82.43
191,90,21,7,19.06
192,68,28,5,41.85
193,78,34,6,19.72
194,11,2,4,59.28
195,96,26,1,83.44
196,43,22,2,32.48
197,22,37,8,85.79
198,64,1,4,32.81
199,27,25,8,96.79
200,84,3,9,22.91
201,62,50,8,72.94
202,72,13,1,88.45
203,26,9,5,33.05
204,28,45,9,65.95
205,3,25,9,66.58
206,47,38,1,73.99
207,98,29,8,87.44
208,63,18,10,92.23
209,37,31,3,87.15
210,48,27,1,48.66
211,81,26,4,17.89
212,86,25,8,39.6
213,3,49,1,67.62
214,71,6,5,38.59
215,67,35,10,90.45
216,92,5,8,78.74
217,43,21,7,43.03
218,51,47,9,84.57
219,81,17,3,20.53
220,1,18,6,64.94
221,94,32,8,17.45
222,76,12,3,73.76
223,67,44,6,38.01
224,91,3,3,22.35
225,20,50,4,92.43
226,34,6,4,33.08
227,41,17,2,74.48
228,9,49,2,22.12
229,55,50,2,19.52
230,84,19,7,34.44
231,28,13,5,14.24
232,41,21,5,42.8
233,1,2,8,23.53
234,66,35,1,71.6
235,1,7,10,90.36
236,18,35,3,89.75
237,33,14,1,38.33
238,13,49,8,36.35
239,27,12,3,63.76
240,31,18,2,72.9
241,8,30,3,94.44
242,34,32,6,87.86
243,85,33,4,24.45
244,3,3,9,13.77
245,85,44,5,62.52
246,78,33,4,79.22
247,53,9,9,14.21
248,96,10,5,95.27
249,99,9,1,14.57
250,3,44,4,66.54
251,44,36,5,78.38
252,98,1,8,53.43
253,18,34,1,47.0
254,91,15,5,65.58
255,22,27,10,52.13
256,1,34,9,59.5
257,2,8,7,99.06
258,40,5,1,38.35
259,66,40,7,28.99
260,81,22,7,93.85
261,23,45,8,75.8
262,84,21,3,35.03
263,81,40,5,72.11
264,37,43,8,91.64
265,64,48,6,82.76
266,97,9,7,38.81
267,13,42,9,94.67
268,99,9,9,17.26
269,40,22,2,40.9
270,70,5,2,61.66
271,67,35,8,55.11
272,29,7,3,14.8
273,20,2,1,82.29
274,92,18,1,57.03
275,68,30,5,58.06
276,21,21,1,49.89
277,50,33,5,93.85
278,59,45,4,33.17
279,25,15,8,63.12
280,77,38,4,92.92
281,48,34,8,88.79
282,46,3,4,76.71
283,18,36,2,73.79
284,8,31,10,99.39
285,85,20,1,66.54
286,90,18,8,67.5
287,71,32,1,33.19
288,67,47,9,69.23
289,32,21,10,79.11
290,29,3,1,51.08
291,99,24,9,85.43
292,9,23,10,34.65
293,79,38,2,41.56
294,21,8,8,60.8
295,81,6,3,93.47
296,87,13,6,30.16
297,71,25,2,64.21
298,32,21,6,63.37
299,78,4,6,20.37
300,76,13,10,11.07
301,87,32,1,21.84
302,58,14,5,45.11
303,38,21,6,60.88
304,41,1,6,88.97
305,37,7,7,70.59
306,50,45,9,46.65
307,98,34,7,53.49
308,40,22,7,83.29
309,92,8,1,24.78
310,54,2,10,82.02
311,1,26,7,56.06
312,62,43,9,22.67
313,26,47,1,13.14
314,38,21,10,23.76
315,62,19,1,17.77
316,79,6,4,47.4
317,72,30,1,11.07
318,43,26,1,46.22
319,41,32,8,27.17
320,26,40,6,16.69
321,82,47,9,21.12
322,10,4,4,87.42
323,83,16,5,72.7
324,46,30,10,51.05
325,78,41,8,95.1
326,12,37,9,36.7
327,73,44,6,42.79
328,23,44,7,43.34
329,19,46,10,38.66
330,68,4,2,37.88
331,18,38,5,33.48
332,50,33,9,69.08
333,28,43,10,57.42
334,80,21,4,71.36
335,18,46,9,76.21
336,30,12,3,87.59
337,73,24,2,27.44
338,83,10,8,95.64
339,95,19,9,13.19
340,51,45,1,59.22
341,28,30,10,82.13
342,48,21,9,48.52
343,95,24,4,39.17
344,81,50,8,72.66
345,55,40,6,12.01
346,2,22,8,29.5
347,49,7,6,86.94
348,73,44,10,87.74
349,58,45,9,89.32
350,79,20,3,23.26
351,63,50,4,33.06
352,28,5,5,96.8
353,77,24,8,94.77
354,41,33,6,28.71
355,97,29,2,10.69
356,26,3,10,88.31
357,47,15,3,62.92
358,10,24,3,57.15
359,9,44,4,42.81
360,42,32,10,38.04
361,92,40,5,57.02
362,84,27,5,41.82
363,92,45,6,74.52
364,86,39,1,37.17
365,6,43,10,62.59
366,58,50,7,32.88
367,72,27,6,13.2
368,67,49,7,87.86
369,69,23,4,33.64
370,2,26,2,73.68
371,98,40,10,17.75
372,28,24,1,43.89
373,98,20,4,44.43
374,54,37,5,77.63
375,10,14,3,80.66
376,18,4,7,98.14
377,33,41,2,60.77
378,21,40,10,75.47
379,81,17,3,33.65
380,71,7,3,15.5
381,33,47,10,62.03
382,15,24,10,54.83
383,19,17,8,28.55
384,62,11,10,45.56
385,42,27,5,84.33
386,14,38,6,77.23
387,52,49,10,60.43
388,31,35,6,20.19
389,67,14,6,37.17
390,27,4,8,47.4
391,80,4,10,81.58
392,93,8,7,15.62
393,37,20,8,85.63
394,85,31,4,56.38
395,6,31,3,13.5
396,30,14,1,40.57
397,1,14,8,39.52
398,49,10,5,28.05
399,59,50,4,80.49
400,34,18,5,81.08
401,12,45,5,52.71
402,53,33,10,49.45
403,87,15,10,92.85
404,21,5,8,59.38
405,45,49,10,92.3
406,87,40,5,63.75
407,64,11,2,26.33
408,44,6,8,63.4
409,4,47,2,97.05
410,11,43,3,51.59
411,1,13,5,23.04
412,57,37,4,86.83
413,68,14,10,20.72
414,16,40,4,34.8
415,21,35,8,84.57
416,11,45,6,90.01
417,87,16,1,47.94
418,68,2,9,84.12
419,87,44,1,31.71
420,94,10,10,25.05
421,36,24,3,78.63
422,38,27,7,50.96
423,44,14,1,17.19
424,36,30,3,13.17
425,90,13,6,82.7
426,16,22,4,55.59
427,44,28,6,61.95
428,90,35,10,51.33
429,42,2,9,42.99
430,89,32,3,99.12
431,64,40,5,73.23
432,3,23,9,93.77
433,51,24,4,98.89
434,75,18,7,38.68
435,16,11,6,29.19
436,5,15,2,42.25
437,71,9,10,13.76
438,57,11,8,58.18
439,48,38,7,93.12
440,42,48,10,72.7
441,7,28,6,16.63
442,65,35,2,19.22
443,46,16,6,14.62
444,97,23,1,68.12
445,95,29,4,79.4
